pos,transaction,date,amount
33618a,201903010001,2019-03-01 10:39:16,4.99
33618a,201903010002,2019-03-01 10:52:54,1.99
33618a,201903010003,2019-03-01 11:13:35,1.99
33618a,201903010004,2019-03-01 11:14:41,9.98
33618a,201903010005,2019-03-01 11:16:23,11.96
33618a,201903010006,2019-03-01 11:18:26,3.99
33618a,201903010007,2019-03-01 11:18:55,3.99
33618a,201903010008,2019-03-01 11:36:04,5.98
33618a,201903010009,2019-03-01 12:13:38,14.99
33618a,201903010010,2019-03-01 12:25:37,31.13
33618a,201903010011,2019-03-01 12:25:57,4.99
33618a,201903010012,2019-03-01 12:26:16,1.99
33618a,201903010013,2019-03-01 12:39:59,18.96
33618a,201903010014,2019-03-01 12:47:04,8.59
33618a,201903010015,2019-03-01 13:29:01,7.99
33618a,201903010016,2019-03-01 13:43:30,4.99
33618a,201903010017,2019-03-01 13:47:51,9.99
33618a,201903010018,2019-03-01 13:52:39,4.99
33618a,201903010019,2019-03-01 14:25:26,13.96
33618a,201903010020,2019-03-01 14:25:49,2.99
33618a,201903010021,2019-03-01 14:29:31,4.99
33618a,201903010022,2019-03-01 14:43:20,25.15
33618a,201903010023,2019-03-01 16:26:45,7.99
33618a,201903010024,2019-03-01 16:47:48,-9.98
33618a,201903010025,2019-03-01 16:48:22,9.98
33618a,201903010026,2019-03-01 16:52:26,3.99
33618a,201903010027,2019-03-01 17:11:41,9.99
33618a,201903010028,2019-03-01 17:41:53,4.99
33618a,201903010029,2019-03-01 18:05:59,4.99
33618a,201903010030,2019-03-01 19:19:32,17.16
33618a,201903010031,2019-03-01 19:28:34,7.99
33618a,201903010032,2019-03-01 19:29:31,9.99
33618a,201903010033,2019-03-01 19:30:19,-4.99
33618a,201903010034,2019-03-01 19:30:31,4.99
33618a,201903010035,2019-03-01 19:47:03,-12.99
33618a,201903010036,2019-03-01 19:56:35,6.99
33618a,201903020001,2019-03-02 10:08:31,14.97
33618a,201903020002,2019-03-02 10:51:44,12.98
33618a,201903020003,2019-03-02 11:45:50,8.99
33618a,201903020004,2019-03-02 11:46:31,51.99
33618a,201903020005,2019-03-02 11:58:14,16.99
33618a,201903020006,2019-03-02 12:03:55,1.99
33618a,201903020007,2019-03-02 12:04:10,0.1
33618a,201903020008,2019-03-02 12:18:32,7.98
33618a,201903020009,2019-03-02 12:18:55,6.98
33618a,201903020010,2019-03-02 12:19:31,0.2
33618a,201903020011,2019-03-02 12:21:34,9.99
33618a,201903020012,2019-03-02 12:23:42,6.99
33618a,201903020013,2019-03-02 12:29:22,60.08
33618a,201903020014,2019-03-02 12:33:16,5.99
33618a,201903020015,2019-03-02 12:47:47,7.99
33618a,201903020016,2019-03-02 13:01:45,4.99
33618a,201903020017,2019-03-02 13:35:53,7.98
33618a,201903020018,2019-03-02 13:38:55,5.09
